id,key,league_id,season_id,start_at,end_at,team3,sources,config,created_at,updated_at
1,world.1930,1,57,1930-07-13,,t,cup,cup.yml,2018-07-17 10:56:56.331012,2018-07-17 10:56:56.331012
2,world.1934,1,58,1934-05-27,,t,cup,cup.yml,2018-07-17 10:56:57.385970,2018-07-17 10:56:57.385970
3,world.1938,1,59,1938-06-04,,t,cup,cup.yml,2018-07-17 10:56:57.772762,2018-07-17 10:56:57.772762
4,world.1950,1,60,1950-06-24,,t,cup,cup.yml,2018-07-17 10:56:58.164733,2018-07-17 10:56:58.164733
5,world.1954,1,61,1954-06-16,,t,cup,cup.yml,2018-07-17 10:56:58.796148,2018-07-17 10:56:58.796148
6,world.1958,1,62,1958-06-08,,t,cup,cup.yml,2018-07-17 10:56:59.103427,2018-07-17 10:56:59.103427
7,world.1962,1,63,1962-05-30,,t,cup,cup.yml,2018-07-17 10:56:59.496592,2018-07-17 10:56:59.496592
8,world.1966,1,64,1966-07-11,,t,cup,cup.yml,2018-07-17 10:56:59.988913,2018-07-17 10:56:59.988913
9,world.1970,1,65,1970-05-31,,t,cup,cup.yml,2018-07-17 10:57:00.550430,2018-07-17 10:57:00.550430
10,world.1974,1,66,1974-06-13,,t,cup,cup.yml,2018-07-17 10:57:01.158032,2018-07-17 10:57:01.158032
11,world.1978,1,67,1978-05-01,,t,cup,cup.yml,2018-07-17 10:57:02.041310,2018-07-17 10:57:02.041310
12,world.1982,1,68,1982-06-13,,t,cup,cup.yml,2018-07-17 10:57:02.967713,2018-07-17 10:57:02.967713
13,world.1986,1,69,1986-05-31,,t,"cup,cup_finals",cup.yml,2018-07-17 10:57:04.876900,2018-07-17 10:57:04.876900
14,world.1990,1,70,1990-06-08,,t,"cup,cup_finals",cup.yml,2018-07-17 10:57:06.370967,2018-07-17 10:57:06.370967
15,world.1994,1,71,1994-06-17,,t,"cup,cup_finals",cup.yml,2018-07-17 10:57:08.177093,2018-07-17 10:57:08.177093
16,world.1998,1,72,1998-06-10,,t,"cup,cup_finals",cup.yml,2018-07-17 10:57:10.169416,2018-07-17 10:57:10.169416
17,world.2002,1,42,2002-05-31,,t,"cup,cup_finals",cup.yml,2018-07-17 10:57:12.690183,2018-07-17 10:57:12.690183
18,world.2006,1,38,2006-06-09,,t,"cup,cup_finals",cup.yml,2018-07-17 10:57:15.207232,2018-07-17 10:57:15.207232
19,world.2010,1,34,2010-06-11,,t,"cup,cup_finals",cup.yml,2018-07-17 10:57:15.714348,2018-07-17 10:57:15.714348
20,world.2014,1,30,2014-06-12,,t,"cup,cup_finals",cup.yml,2018-07-17 10:57:16.221451,2018-07-17 10:57:16.221451
21,world.2018,1,26,2018-06-14,,t,"cup,cup_finals",cup.yml,2018-07-17 10:57:17.477957,2018-07-17 10:57:17.477957
